Date,Close,Predictions
2018-06-21,258.20001220703125,272.972
2018-06-22,262.1000061035156,271.86212
2018-06-25,264.5,270.6802
2018-06-26,267.3500061035156,269.71747
2018-06-27,265.6000061035156,269.1855
2018-06-28,263.95001220703125,268.81326
2018-06-29,269.3500061035156,268.44717
2018-07-02,264.45001220703125,268.5506
2018-07-03,281.0,268.52057
2018-07-04,277.29998779296875,269.75742
2018-07-05,271.25,271.31573
2018-07-06,266.29998779296875,272.4913
2018-07-09,275.25,272.96643
2018-07-10,274.75,273.70456
2018-07-11,269.79998779296875,274.46442
2018-07-12,265.20001220703125,274.78824
2018-07-13,258.8999938964844,274.4715
2018-07-16,243.25,273.29633
2018-07-17,247.8999938964844,270.45752
2018-07-18,238.6499938964844,267.24084
2018-07-19,233.1000061035156,263.27414
2018-07-20,238.6000061035156,258.7478
2018-07-23,243.3000030517578,254.6702
2018-07-24,246.3000030517578,251.52646
2018-07-25,236.8999938964844,249.4253
2018-07-26,239.1000061035156,247.38646
2018-07-27,242.25,245.75061
2018-07-30,242.1999969482422,244.72298
2018-07-31,246.8999938964844,244.13536
2018-08-01,235.6499938964844,244.23798
2018-08-02,235.4499969482422,243.85886
2018-08-03,234.6499938964844,243.23453
2018-08-06,239.5,242.4359
2018-08-07,237.6000061035156,241.972
2018-08-08,236.3500061035156,241.58598
2018-08-09,237.3000030517578,241.19057
2018-08-10,233.5500030517578,240.89957
2018-08-13,234.5500030517578,240.39774
2018-08-14,237.5500030517578,239.89545
2018-08-16,239.3500061035156,239.6621
2018-08-17,243.0,239.74658
2018-08-20,245.1499938964844,240.30724
2018-08-21,240.5500030517578,241.28183
2018-08-23,235.4499969482422,242.07278
2018-08-24,231.0,242.30447
2018-08-27,237.0500030517578,241.8348
2018-08-28,233.3500061035156,241.45172
2018-08-29,234.5500030517578,240.83658
2018-08-30,236.0,240.23503
2018-08-31,234.3000030517578,239.7977
2018-09-03,236.6999969482422,239.35887
2018-09-04,223.6999969482422,239.1487
2018-09-05,222.3999938964844,238.06741
2018-09-06,221.0500030517578,236.4694
2018-09-07,222.9499969482422,234.56131
2018-09-10,222.0,232.75415
2018-09-11,216.0,231.06554
2018-09-12,222.6499938964844,229.1158
2018-09-14,233.9499969482422,227.68703
2018-09-17,236.6000061035156,227.54872
2018-09-18,235.0500030517578,228.40468
2018-09-19,234.8999938964844,229.69595
2018-09-21,234.6000061035156,231.15666
2018-09-24,233.3000030517578,232.58665
2018-09-25,236.1000061035156,233.78499
2018-09-26,234.25,234.97035
2018-09-27,233.25,235.9016
2018-09-28,233.75,236.53311
2018-10-01,230.8999938964844,236.97272
2018-10-03,227.6000061035156,237.03404
2018-10-04,218.1999969482422,236.60689
2018-10-05,209.1999969482422,235.18231
2018-10-08,215.1499938964844,232.57257
2018-10-09,216.5,229.909
2018-10-10,228.3999938964844,227.49236
2018-10-11,224.6000061035156,226.33711
2018-10-12,229.1000061035156,225.72899
2018-10-15,234.8999938964844,225.87999
2018-10-16,235.4499969482422,226.93306
2018-10-17,231.1000061035156,228.49677
2018-10-19,227.1999969482422,229.91954
2018-10-22,223.25,230.85266
2018-10-23,218.3000030517578,231.10744
2018-10-24,219.8000030517578,230.54109
2018-10-25,222.1000061035156,229.6355
2018-10-26,217.6000061035156,228.75891
2018-10-29,220.0,227.6108
2018-10-30,227.3000030517578,226.58464
2018-10-31,217.8500061035156,226.27301
2018-11-01,217.75,225.67426
2018-11-02,217.6499938964844,224.96758
2018-11-05,219.8500061035156,224.23412
2018-11-06,213.8000030517578,223.70853
2018-11-07,215.1999969482422,222.87453
2018-11-09,209.5,222.03851
2018-11-12,214.6999969482422,220.814
2018-11-13,219.9499969482422,219.85852
2018-11-14,217.3999938964844,219.53244
2018-11-15,221.4499969482422,219.41437
2018-11-16,221.8000030517578,219.76183
2018-11-19,224.1499938964844,220.38925
2018-11-20,215.9499969482422,221.32822
2018-11-21,219.0,221.74509
2018-11-22,215.8999938964844,222.06647
2018-11-26,217.6499938964844,222.04826
2018-11-27,217.75,221.96523
2018-11-28,216.0,221.84964
2018-11-29,218.75,221.58775
2018-11-30,218.6499938964844,221.47452
2018-12-03,214.75,221.44687
2018-12-04,209.5,221.17374
2018-12-05,211.6999969482422,220.37206
2018-12-06,208.1499938964844,219.48412
2018-12-07,206.5500030517578,218.3236
2018-12-10,198.1999969482422,216.96706
2018-12-11,202.8500061035156,214.94803
2018-12-12,212.9499969482422,213.04677
2018-12-13,212.3999938964844,212.12247
2018-12-14,212.3500061035156,211.81259
2018-12-17,210.0500030517578,211.91588
2018-12-18,210.1000061035156,212.0933
2018-12-19,210.1499938964844,212.3123
2018-12-20,210.1999969482422,212.5413
2018-12-21,215.3999938964844,212.7613
2018-12-24,219.0500030517578,213.3611
2018-12-26,218.5500030517578,214.42317
2018-12-27,220.0500030517578,215.64983
2018-12-28,220.8000030517578,217.00859
2018-12-31,219.3999938964844,218.40227
2019-01-01,219.1000061035156,219.6022
2019-01-02,214.6000061035156,220.57158
2019-01-03,210.0500030517578,220.97354
2019-01-04,213.8000030517578,220.65013
2019-01-07,214.9499969482422,220.2007
2019-01-08,215.1499938964844,219.78236
2019-01-09,212.6000061035156,219.43034
2019-01-10,214.1499938964844,218.95047
2019-01-11,211.8999938964844,218.55563
2019-01-14,213.5,218.06335
2019-01-15,214.3000030517578,217.67792
2019-01-16,216.4499969482422,217.44427
2019-01-17,218.1499938964844,217.48796
2019-01-18,216.25,217.82823
2019-01-21,210.5,218.17699
2019-01-22,212.1000061035156,218.06422
2019-01-23,210.6000061035156,217.8101
2019-01-24,210.8000030517578,217.3613
2019-01-25,207.0500030517578,216.84407
2019-01-28,209.25,216.03145
2019-01-29,204.8500061035156,215.27634
2019-01-30,204.5,214.26564
2019-01-31,203.8000030517578,213.15717
2019-02-01,204.1000061035156,212.01527
2019-02-04,199.8500061035156,210.96223
2019-02-05,185.9499969482422,209.71487
2019-02-06,188.4499969482422,207.3828
2019-02-07,191.1000061035156,204.77118
2019-02-08,185.6999969482422,202.36546
2019-02-11,179.75,199.84865
2019-02-12,186.5500030517578,197.01152
2019-02-14,188.8999938964844,194.71185
2019-02-15,186.1499938964844,193.07874
2019-02-18,182.75,191.77393
2019-02-19,184.5,190.52106
2019-02-20,188.6999969482422,189.53098
